id,title,genres,averageRating,numVotes,releaseYear
tt1954470,"Gangs of Wasseypur","Action, Comedy, Crime",8.2,107498,2012
tt7838252,"K.G.F: Chapter 1","Action, Crime, Drama",8.2,104691,2018
tt0367110,Swades,"Drama, Musical",8.2,101584,2004
tt4430212,Drishyam,"Crime, Drama, Mystery",8.2,101032,2015
tt0476735,"My Father and My Son","Drama, Family",8.2,97328,2005
tt1562872,"Zindagi Na Milegi Dobara","Comedy, Drama, Musical",8.2,90396,2011
tt0118849,"Children of Heaven","Drama, Family, Sport",8.2,85695,1997
tt11032374,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train","Action, Adventure, Animation",8.2,83888,2020
tt1645089,"Inside Job","Crime, Documentary",8.2,81239,2010
tt0242519,"Hera Pheri","Action, Comedy, Crime",8.2,75987,2000
tt8291224,"Uri: The Surgical Strike","Action, Drama, History",8.2,75887,2019
tt2125608,"Searching for Sugar Man","Biography, Documentary, Music",8.2,74730,2012
tt2356180,"Bhaag Milkha Bhaag","Biography, Drama, Sport",8.2,74559,2013
tt8239946,Tumbbad,"Drama, Fantasy, Horror",8.2,68252,2018
tt0015324,"Sherlock Jr.","Action, Comedy, Romance",8.2,61947,1924
tt10431500,"Miracle in Cell No. 7",Drama,8.2,59210,2019
tt6148156,"Vikram Vedha","Action, Crime, Drama",8.2,52859,2017
tt15501640,"Drishyam 2","Crime, Drama, Mystery",8.2,48678,2022
tt6316138,"Ayla: The Daughter of War","Biography, Drama, History",8.2,46014,2017
tt0085809,Koyaanisqatsi,"Documentary, Music",8.2,43271,1982
tt2375605,"The Act of Killing","Biography, Crime, Documentary",8.2,42374,2012
tt0048473,"Pather Panchali",Drama,8.2,40148,1955
tt7905466,"They Shall Not Grow Old","Documentary, History, War",8.2,39686,2018
tt1620933,"Paan Singh Tomar","Action, Biography, Crime",8.2,39031,2012
tt5895028,13th,"Crime, Documentary, History",8.2,38527,2016
tt0071411,"Dersu Uzala","Adventure, Biography, Drama",8.2,35044,1975
tt28459771,"Oficina do Diabo",Drama,8.2,31878,2025
tt0045274,"Umberto D.",Drama,8.2,29616,1952
tt5929776,"Before the Flood","Documentary, News",8.2,29344,2016
tt7392212,Rangasthalam,"Action, Drama",8.2,29301,2018
tt0049902,"A Man Escaped","Drama, Thriller, War",8.2,28958,1956
tt26458038,"Manjummel Boys","Adventure, Drama, Thriller",8.2,27534,2024
tt4983780,Maanaadu,"Action, Adventure, Sci-Fi",8.2,26328,2021
tt0466460,"Khosla Ka Ghosla!","Comedy, Crime, Drama",8.2,25839,2006
tt0100234,Close-Up,"Biography, Crime, Drama",8.2,24960,1990
tt0054248,"Rocco and His Brothers","Crime, Drama, Sport",8.2,24189,1960
tt0042804,"The Young and the Damned","Crime, Drama",8.2,22877,1950
tt0041154,"Late Spring","Comedy, Drama",8.2,20494,1949
tt25433734,"Hi Nanna","Drama, Family, Romance",8.2,20050,2023
tt0070233,"Ivan Vasilyevich Changes His Profession","Adventure, Comedy, Sci-Fi",8.2,19484,1973
tt0100332,"Paris Is Burning",Documentary,8.2,19313,1990
tt7019942,"Super Deluxe","Comedy, Crime, Drama",8.2,18911,2019
tt0117293,"Paradise Lost: The Child Murders at Robin Hood Hills","Crime, Documentary",8.2,18868,1996
tt5460658,"Life and a Day",Drama,8.2,18639,2016
tt0050371,"A Face in the Crowd","Drama, Music",8.2,18314,1957
tt0081059,"Lion of the Desert","Biography, Drama, History",8.2,18269,1980
tt0422320,Ghilli,"Action, Drama, Romance",8.2,18253,2004
tt0048452,Ordet,Drama,8.2,18196,1955
tt2181831,Shahid,"Biography, Drama",8.2,18162,2012
tt7060460,"Theeran Adhigaram Ondru","Action, Crime, Thriller",8.2,18009,2017
tt2218988,"Ustad Hotel","Comedy, Drama",8.2,17691,2012
tt0195231,Satya,"Action, Crime, Drama",8.2,17632,1998
tt6380520,"Dhuruvangal Pathinaaru","Crime, Drama, Mystery",8.2,17621,2016
tt0062759,"The Diamond Arm","Adventure, Comedy, Crime",8.2,17156,1969
tt0048956,Aparajito,Drama,8.2,16815,1956
tt0471571,Athadu,"Action, Crime, Drama",8.2,15665,2005
tt1180583,"Vaaranam Aayiram","Action, Drama, Musical",8.2,15094,2008
tt0023042,"I Am a Fugitive from a Chain Gang","Crime, Drama, Film-Noir",8.2,15067,1932
tt9500372,"Pocket Hercules: Naim Süleymanoglu","Biography, Drama, History",8.2,14881,2019
tt3569782,Jigarthanda,"Comedy, Crime, Drama",8.2,14217,2014
tt0101985,"A Brighter Summer Day","Crime, Drama, Romance",8.2,13985,1991
tt9124428,Champion,"Biography, Drama, Romance",8.2,13740,2018
tt0056512,"The Easy Life","Comedy, Drama",8.2,13566,1962
